p,mae,mase
1,0.03092725430068816,1.0139473642869155
2,0.03115770846985642,1.0215027843428075
3,0.031364529433555485,1.0282833917961267
4,0.031669316803042656,1.0382758194120687
5,0.031941148800547874,1.0471878080005006
6,0.032138181634706234,1.0536475124712077
7,0.03228136627637348,1.0583418085963454
8,0.032369919399820514,1.0612450151094595
9,0.03246867535617728,1.0644827206193646
10,0.032701922159499644,1.0721296969450904
